모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
DANIGO 3,(주)대창모터스,전기,,없음,6.1,고속(전기),0,화물
BMW 320i,BMW,휘발유,1998,자동8,11,4등급,154,일반형
봉고 전기차,기아,전기,,없음,3.1,고속(전기),0,일반형
K5(DL3) 2.0LPI_18인치(빌트인캠),기아,LPG,1999,자동6,9.6,4등급,136,일반형
A4 40 TFSI,아우디,휘발유,1984,자동7,12.2,3등급,140,일반형
토요타 Prius Prime,토요타,전기+휘발유,1798,무단변속,6.4 / 21.4,PHEV,23,일반형
Mercedes-Benz E 300,벤츠,휘발유,1991,자동9,10.2,4등급,171,일반형
Mercedes-Benz E 220 d 4MATIC,벤츠,경유,1950,자동9,13.6,3등급,139,일반형
Mercedes-Benz S 350 L,벤츠,휘발유,2996,자동9,9.2,5등급,190,일반형
Mercedes-Benz S 560 e,벤츠,전기+휘발유,2996,자동9,2.6 / 10.1,PHEV,69,일반형
BMW 740i,BMW,휘발유,2998,자동8,9.5,4등급,181,일반형
BMW M8 Gran Coupe Competition,BMW,휘발유,4395,자동8,7.3,5등급,237,일반형
BMW X6 xDrive40i,BMW,휘발유,2998,자동8,7.6,5등급,227,다목적형
Rolls-Royce Cullinan Black Badge,롤스로이스,휘발유,6749,자동8,5.4,5등급,330,일반형
SQ8 TDI,아우디,경유,3956,자동8,8.5,5등급,232,다목적형
레이(20MY) 1.0 가솔린 밴형 14인치 타이어,기아,휘발유,998,자동4,13,경형,127,일반형
레이(20MY) 1.0 가솔린 15인치 타이어,기아,휘발유,998,자동4,12.7,경형,131,일반형
K5(DL3) 2.0GDI 하이브리드_16인치타이어,기아,휘발유,1999,자동6,20.1,1등급,79,일반형
짚 체로키 3.2,크라이슬러,휘발유,3239,자동9,8.1,5등급,215,다목적형
짚 체로키 3.2,크라이슬러,휘발유,3239,자동9,8.3,5등급,212,다목적형
Mercedes-Maybach S 560 4MATIC,벤츠,휘발유,3982,자동9,7.2,5등급,246,일반형
K5(DL3) 2.0GDI 하이브리드_16인치(빌트인캠),기아,휘발유,1999,자동6,19.7,1등급,81,일반형
레이(20MY) 1.0 가솔린 14인치 타이어,기아,휘발유,998,자동4,13,경형,127,일반형
쏘나타(DN8) 1.6 T-GDI_19인치타이어,현대,휘발유,1598,자동8,12.8,3등급,131,일반형
A5 Cabriolet 45 TFSI quattro,아우디,휘발유,1984,자동7,10.8,4등급,160,일반형
S6 TDI,아우디,경유,2967,자동8,11.4,4등급,169,일반형
Q7 45 TDI quattro,아우디,경유,2967,자동8,10.2,4등급,191,다목적형
Mercedes-Benz E 300 4MATIC,벤츠,휘발유,1991,자동9,10,4등급,174,일반형
Mercedes-Benz S 560 4MATIC,벤츠,휘발유,3982,자동9,7.5,5등급,237,일반형
Mercedes-Benz GLC 300 4MATIC Coupe,벤츠,휘발유,1991,자동9,9.7,4등급,179,다목적형
Mercedes-Maybach S 560 4MATIC,벤츠,휘발유,3982,자동9,7.2,5등급,246,일반형
쏘나타(DN8) 1.6 T-GDI_19인치(빌트인캠),현대,휘발유,1598,자동8,12.6,3등급,134,일반형
BMW 220d,BMW,경유,1995,자동8,13.9,2등급,137,일반형
Mercedes-Benz E 450 4MATIC Coupe,벤츠,휘발유,2996,자동9,9.1,5등급,192,일반형
CR-V 4WD,혼다,휘발유,1498,무단변속,11.5,4등급,145,다목적형
Q5 50 TDI quattro,아우디,경유,2967,자동8,11.1,4등급,175,다목적형
Mercedes-Benz E 450 4MATIC,벤츠,휘발유,2996,자동9,9.1,5등급,192,일반형
A5 Sportback 40 TDI quattro,아우디,경유,1968,자동7,13.5,3등급,141,일반형
A4 40 TDI quattro,아우디,경유,1968,자동7,13.8,2등급,138,일반형
Q7 50 TDI quattro,아우디,경유,2967,자동8,10.2,4등급,191,다목적형
포터일렉트릭,현대,전기,,없음,3.1,고속(전기),0,일반형
Mercedes-Benz S 560 4MATIC,벤츠,휘발유,3982,자동9,7.5,5등급,237,일반형
BMW 420d Coupe RDE2,BMW,경유,1995,자동8,13.2,3등급,145,일반형
Lincoln Aviator 3.0,포드,휘발유,2956,자동10,8.1,5등급,212,다목적형
Tiguan Allspace 2.0 TDI,폭스바겐,경유,1968,자동7,13.5,3등급,141,다목적형
Tiguan Allspace 2.0 TDI,폭스바겐,경유,1968,자동7,13.5,3등급,141,다목적형
"그랜저(IG개조)2.4 하이브리드_18""타이어",현대,휘발유,2359,자동6,15.2,2등급,108,일반형
"그랜저(IG개조)2.4 하이브리드_18""타이어(빌트인캠)",현대,휘발유,2359,자동6,14.9,2등급,110,일반형
"그랜저(IG개조)2.4 하이브리드_17""타이어(빌트인캠)",현대,휘발유,2359,자동6,15.9,2등급,103,일반형
Mercedes-Benz S 560 e,벤츠,전기+휘발유,2996,자동9,2.6 / 10.1,PHEV,69,일반형
그랜저(IG개조) 2.5 GDI_18인치타이어,현대,휘발유,2497,자동8,11.6,3등급,146,일반형
Arteon 2.0 TDI 4Motion,폭스바겐,경유,1968,자동7,13.4,3등급,143,일반형
SQ8 TDI,아우디,경유,3956,자동8,8.5,5등급,232,다목적형
A8L 50 TDI quattro,아우디,경유,2967,자동8,11.1,4등급,174,일반형
재규어 XE D180,재규어,경유,1999,자동8,14.2,2등급,134,일반형
TWIZY Cargo(1인승),르노삼성,전기,,없음,7.9,고속(전기),0,기타형
CR-V 2WD,혼다,휘발유,1498,무단변속,12.6,3등급,132,다목적형
A7 55 TFSI quattro,아우디,휘발유,2995,자동7,9.5,4등급,182,일반형
A8 50 TDI quattro,아우디,경유,2967,자동8,11.3,4등급,171,일반형
A4 35 TDI,아우디,경유,1968,자동7,15.9,2등급,117,일반형
S7 TDI,아우디,경유,2967,자동8,12,3등급,161,일반형
A5 Coupe 45 TFSI quattro,아우디,휘발유,1984,자동7,10.4,4등급,166,일반형
MINI Cooper SD Clubman,MINI,경유,1995,자동8,13.4,3등급,142,일반형
페라리 F8 Tributo,페라리,휘발유,3902,자동7,6.6,5등급,268,일반형
짚 체로키 2.4 AWD,크라이슬러,휘발유,2360,자동9,9.3,5등급,185,다목적형
MINI John Cooper Works Countryman ALL4,MINI,휘발유,1998,자동8,9.6,4등급,180,일반형
Rolls-Royce Cullinan Black Badge,롤스로이스,휘발유,6749,자동8,5.4,5등급,330,일반형
A5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10.6,4등급,162,일반형
Q5 45 TFSI quattro,아우디,휘발유,1984,자동7,10.3,4등급,167,다목적형
A7 45 TDI quattro,아우디,경유,2967,자동8,12.1,3등급,160,일반형
BMW X1 xDrive25i,BMW,휘발유,1998,자동8,9.8,4등급,174,다목적형
TWIZY Urban(2인승),르노삼성,전기,,없음,7.9,고속(전기),0,기타형
짚 체로키 2.4 FWD,크라이슬러,휘발유,2360,자동9,9.5,4등급,182,다목적형
BMW X2 xDrive25i,BMW,휘발유,1998,자동8,9.9,4등급,173,다목적형
그랜저(IG개조) 3.0 LPI_18인치타이어,현대,LPG,2999,자동6,7.4,5등급,180,일반형
그랜저(IG개조) 3.0 LPI_17인치타이어,현대,LPG,2999,자동6,7.5,5등급,177,일반형
"투싼 개조차 2.0디젤 AWD (20MY_19""타이어)",현대,경유,1995,자동8,12.4,3등급,154,다목적형
"투싼 개조차 2.0디젤 2WD 8AT (20MY_19""타이어)",현대,경유,1995,자동8,13.8,2등급,137,다목적형
"투싼 개조차 1.6디젤 AWD (20MY_19""타이어)",현대,경유,1598,자동7,13.8,2등급,137,다목적형
"투싼 개조차 1.6디젤 AWD (20MY_18""타이어)",현대,경유,1598,자동7,14.1,2등급,134,다목적형
"투싼 개조차 1.6디젤 2WD (20MY_19""타이어)",현대,경유,1598,자동7,15.3,2등급,122,다목적형
"투싼 개조차 1.6디젤 2WD (20MY_18""타이어)",현대,경유,1598,자동7,15.8,2등급,118,다목적형
"투싼 개조차 1.6T-GDI AWD (20MY_19""타이어)",현대,휘발유,1591,자동7,10.4,4등급,162,다목적형
"투싼 개조차 1.6T-GDI AWD (20MY_18""타이어)",현대,휘발유,1591,자동7,10.7,4등급,157,다목적형
"투싼 개조차 1.6T-GDI 2WD (20MY_19""타이어)",현대,휘발유,1591,자동7,11.3,4등급,148,다목적형
"투싼 개조차 1.6T-GDI 2WD (20MY_18""타이어)",현대,휘발유,1591,자동7,11.6,3등급,144,다목적형
BMW 840i xDrive Gran Coupe,BMW,휘발유,2998,자동8,9.4,4등급,183,일반형
볼보 XC90T8 AWD,볼보,전기+휘발유,1969,자동8,2.8 / 10,PHEV,59,다목적형
BMW X5 M50d,BMW,경유,2993,자동8,9.7,4등급,202,다목적형
그랜저(IG개조) 3.3 GDI_19인치타이어,현대,휘발유,3342,자동8,9.6,4등급,179,일반형
그랜저(IG개조) 3.3 GDI_18인치타이어,현대,휘발유,3342,자동8,9.7,4등급,178,일반형
그랜저(IG개조) 3.0 LPI_19인치타이어,현대,LPG,2999,자동6,7.3,5등급,182,일반형
Q7 45 TDI quattro,아우디,경유,2967,자동8,10.5,4등급,184,다목적형
Q8 50 TDI quattro,아우디,경유,2967,자동8,10.5,4등급,186,다목적형
Q8 45 TDI quattro,아우디,경유,2967,자동8,10.7,4등급,182,다목적형
그랜저(IG개조) 2.5 GDI_19인치타이어,현대,휘발유,2497,자동8,11.1,4등급,153,일반형
그랜저(IG개조) 2.5 GDI_17인치타이어,현대,휘발유,2497,자동8,11.9,3등급,142,일반형
GR Supra,토요타,휘발유,2998,자동8,9.7,4등급,171,일반형
BMW X1 xDrive18d,BMW,경유,1995,자동8,13.3,3등급,143,다목적형
BMW X6 M50d,BMW,경유,2993,자동8,9.5,4등급,206,다목적형
MINI Cooper S Countryman ALL4,MINI,휘발유,1998,자동8,9.6,4등급,178,일반형
Q5 45 TFSI quattro,아우디,휘발유,1984,자동7,10.3,4등급,167,다목적형
BMW M340i,BMW,휘발유,2998,자동8,9.9,4등급,174,일반형
BMW 840i xDrive,BMW,휘발유,2998,자동8,9.5,4등급,181,일반형
마스타(MASTA)VAN,마스타전기차(주),전기,,없음,6.1,고속(전기),0,화물
코란도 1.6 디젤 6MT 2WD SCR ISG,쌍용,경유,1597,수동6,15.2,2등급,124,다목적형
그랜드스타렉스 2.5디젤 리무진 (20MY_6P_N/HR),현대,경유,2497,자동5,8.9,5등급,222,일반형
그랜드스타렉스 2.5디젤 4WD 리무진 (20MY_6P_N/HR),현대,경유,2497,자동5,8.3,5등급,237,일반형
MINI Cooper SD Countryman ALL4 RDE,MINI,경유,1995,자동8,12.6,3등급,151,일반형
MINI Cooper Convertible,MINI,휘발유,1499,자동7,11.6,3등급,146,일반형
Explorer 2.3,포드,휘발유,2261,자동10,8.9,5등급,189,다목적형
G70 3.3T-GDI 2WD_20MY(19인치 PS4S타이어),현대,휘발유,3342,자동8,8.9,5등급,189,일반형
Mercedes-Benz E 250,벤츠,휘발유,1991,자동9,10.5,4등급,165,일반형
G70 3.3T-GDI AWD_20MY(19인치 PS4S타이어),현대,휘발유,3342,자동8,8.5,5등급,198,일반형
MINI Cooper D Countryman ALL4 RDE,MINI,경유,1995,자동8,13.9,2등급,136,일반형
MINI Cooper,MINI,휘발유,1499,자동7,12.3,3등급,136,일반형
볼보 XC60T8 AWD,볼보,전기+휘발유,1969,자동8,3 / 10.8,PHEV,67,다목적형
벤츠 S350 d 4MATIC,벤츠,경유,2925,자동9,10.9,4등급,178,일반형
FENGON ix5,DFSK,휘발유,1498,무단변속,9.8,4등급,173,다목적형
BMW 530i,BMW,휘발유,1998,자동8,10.4,4등급,163,일반형
INFINITI Q50,닛산,휘발유,2997,자동7,9.1,5등급,191,일반형
INFINITI Q50,닛산,휘발유,2997,자동7,9.3,5등급,187,일반형
MINI Cooper S five-door,MINI,휘발유,1998,자동7,11.7,3등급,146,일반형
MINI Cooper S Convertible,MINI,휘발유,1998,자동7,11.5,4등급,148,일반형
MINI John Cooper Works Convertible,MINI,휘발유,1998,자동8,10.8,4등급,157,일반형
BMW X2 xDrive20i,BMW,휘발유,1998,자동8,9.8,4등급,174,다목적형
MINI Cooper S,MINI,휘발유,1998,자동7,11.6,3등급,146,일반형
스파크 밴 1.0,한국지엠,휘발유,999,무단변속,14.4,경형,116,밴형
Q3 35 TDI,아우디,경유,1968,자동7,14.7,2등급,129,다목적형
T-ROC 2.0 TDI,폭스바겐,경유,1968,자동7,15.1,2등급,124,다목적형
벤츠 EQC 400 4MATIC,벤츠,전기,,없음,3.2,고속(전기),0,일반형
Mercedes-Benz CLS 300 d ,벤츠,경유,1950,자동9,13,3등급,146,일반형
스파크 1.0,한국지엠,휘발유,999,무단변속,14.4,경형,116,일반형
Mercedes-AMG E 53 4MATIC +,벤츠,휘발유,2999,자동9,9.5,4등급,185,일반형
BMW X1 xDrive20i,BMW,휘발유,1998,자동8,9.8,4등급,175,다목적형
Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,,없음,5.8,고속(전기),0,일반형
파나메라 4 E-하이브리드,포르쉐,전기+휘발유,2894,자동8,2 / 8.3,PHEV,85,일반형
파나메라 4 E-하이브리드 (5인승),포르쉐,전기+휘발유,2894,자동8,2 / 8.3,PHEV,85,일반형
파나메라 4 E-하이브리드 이그제큐티브,포르쉐,전기+휘발유,2894,자동8,2 / 8.3,PHEV,85,일반형
BMW M8,BMW,휘발유,4395,자동8,7.6,5등급,230,일반형
MINI Cooper Countryman ,MINI,휘발유,1499,자동7,10.7,4등급,159,일반형
카니발(PE 20MY) 3.3GDI 하이리무진 9인,기아,휘발유,3342,자동8,7.6,5등급,228,기타형
카니발(PE 20MY) 3.3GDI 9인승 (19'' 타이어),기아,휘발유,3342,자동8,8.2,5등급,210,기타형
Q5 40 TDI quattro,아우디,경유,1968,자동7,12,3등급,160,다목적형
Q2 35 TDI,아우디,경유,1968,자동7,15.1,2등급,125,다목적형
BMW Active Tourer RDE,BMW,경유,1995,자동8,14.7,2등급,128,일반형
CHEVROLET BOLT EV,GM,전기,,없음,5.4,고속(전기),0,일반형
BMW X4 xDrive20i,BMW,휘발유,1998,자동8,9.5,4등급,181,다목적형
MINI Cooper S Clubman,MINI,휘발유,1998,자동7,10.6,4등급,161,일반형
MINI Cooper Clubman ,MINI,휘발유,1499,자동7,11.5,4등급,147,일반형
MINI Cooper five-door,MINI,휘발유,1499,자동7,12.1,3등급,140,일반형
Model 3 Long Range,테슬라코리아 유한회사,전기,,없음,5,고속(전기),0,일반형
Mercedes-AMG GT 43 4MATIC+,벤츠,휘발유,2999,자동9,8.5,5등급,205,일반형
G70 3.3T-GDI 2WD (19인치 PS4S타이어),현대,휘발유,3342,자동8,9.5,4등급,180,일반형
벤츠 GLE 450 4MATIC,벤츠,휘발유,2999,자동9,8.8,5등급,198,다목적형
MINI Cooper D Clubman,BMW,경유,1995,자동8,14.1,2등급,134,일반형
CEVO-C,Supaq Motor Limited,전기,,없음,6.4,고속(전기),0,일반형
BMW 530i xDrive,BMW,휘발유,1998,자동8,10.3,4등급,166,일반형
BMW 520i,BMW,휘발유,1998,자동8,11.1,4등급,152,일반형
G70 3.3T-GDI AWD (19인치 PS4S타이어),현대,휘발유,3342,자동8,8.8,5등급,196,일반형
짚 그랜드 체로키,크라이슬러,경유,2987,자동8,9.3,5등급,212,다목적형
짚 레니게이드 1.6,크라이슬러,경유,1598,자동6,15.6,2등급,120,다목적형
캐딜락 XT6,GM,휘발유,3649,자동9,8.3,5등급,210,다목적형
A6 40 TDI quattro,아우디,경유,1968,자동7,15.1,2등급,125,일반형
캐딜락 XT5,GM,휘발유,3649,자동9,8,5등급,218,다목적형
E300e,벤츠,전기+휘발유,1991,자동9,2.5 / 10.3,PHEV,49,일반형
봉고 1톤 4X4덤프 (강화유로6),기아,경유,2497,수동6,8.8,5등급,222,화물
Mercedes-AMG CLS 53 4MATIC + ,벤츠,휘발유,2999,자동9,9.5,4등급,183,일반형
Arteon 2.0 TDI,폭스바겐,경유,1968,자동7,15.2,2등급,124,일반형
Tiguan 2.0 TDI 4Motion,폭스바겐,경유,1968,자동7,12.8,3등급,149,다목적형
그랜드스타렉스 2.5디젤 2WD 5AT_9인 (PE2/20MY),현대,경유,2497,자동5,9.4,4등급,210,기타형
그랜드스타렉스 2.5디젤 4WD 5AT_9인 (PE2/20MY),현대,경유,2497,자동5,8.9,5등급,220,기타형
포터 2.5디젤 4x4덤프(강화유로6),현대,경유,2497,수동6,8.8,5등급,222,화물
벤츠 E 350 4MATIC,벤츠,휘발유,1991,자동9,10.3,4등급,169,일반형
Mercedes-AMG G63,벤츠,휘발유,3982,자동9,6.1,5등급,292,다목적형
"모하비(PE2) 3.0디젤 4WD 5인(18""/20"" 타이어)",기아,경유,2959,자동8,9.4,4등급,209,다목적형
"모하비(PE2) 3.0디젤 4WD 6인(18"" 타이어)",기아,경유,2959,자동8,9.4,4등급,209,다목적형
"모하비(PE2) 3.0디젤 4WD 6인(20"" 타이어)",기아,경유,2959,자동8,9.3,5등급,211,다목적형
"모하비(PE2) 3.0디젤 4WD 7인(20"" 타이어)",기아,경유,2959,자동8,9.3,5등급,211,다목적형
"모하비(PE2) 3.0디젤 4WD 7인(18"" 타이어)",기아,경유,2959,자동8,9.4,4등급,209,다목적형
A8L 55 TFSI quattro,아우디,휘발유,2995,자동8,8.8,5등급,197,일반형
렉스턴스포츠 2.2 디젤 4WD 6MT SCR,쌍용,경유,2157,수동6,11,4등급,177,화물
Model 3 Performance,테슬라코리아 유한회사,전기,,없음,4.7,고속(전기),0,일반형
DS3 Crossback 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,15.6,2등급,120,다목적형
"카니발(PE 20MY)2.2디젤 하이리무진 11인(18"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,일반형
"카니발(PE 20MY) 2.2디젤 아웃도어 9인(19"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
"카니발(PE 20MY) 2.2디젤 하이리무진 9인(18"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
"카니발(PE 20MY) 2.2디젤 하이리무진 9인(19"" 타이어)",기아,경유,2199,자동8,10.3,4등급,189,기타형
"카니발(PE 20MY) 2.2디젤 2WD 11인승 (18"" 타이어)",기아,경유,2199,자동8,11.3,4등급,172,일반형
"카니발(PE 20MY) 2.2디젤 2WD 11인승 (17"" 타이어)",기아,경유,2199,자동8,11.4,4등급,169,일반형
"카니발(PE 20MY) 2.2디젤 2WD 7인승 (19"" 타이어)",기아,경유,2199,자동8,11.3,4등급,171,기타형
"카니발(PE 20MY) 2.2디젤 2WD 9인승 (19"" 타이어)",기아,경유,2199,자동8,11.3,4등급,171,기타형
카니발(PE 20MY) 2.2디젤 2WD 9인승 (18'' 타이어),기아,경유,2199,자동8,11.4,4등급,170,기타형
카니발(PE 20MY) 3.3GDI 하이리무진 7인,기아,휘발유,3342,자동8,7.9,5등급,218,기타형
카니발(PE 20MY) 3.3GDI 하이리무진 9인,기아,휘발유,3342,자동8,7.6,5등급,228,기타형
카니발(PE 20MY) 3.3GDI 7인승 (19'' 타이어),기아,휘발유,3342,자동8,8.2,5등급,210,기타형
"카니발(PE 20MY) 3.3GDI 9인승 (18""/19'' 타이어)",기아,휘발유,3342,자동8,8.2,5등급,210,기타형
BMW 640i xDrive,BMW,휘발유,2998,자동8,9,5등급,191,일반형
BMW 540i xDrive,BMW,휘발유,2998,자동8,9.3,5등급,185,일반형
K7 2.4하이브리드 (PE/18“ 타이어),기아,휘발유,2359,자동6,15.2,2등급,108,일반형
쏘나타(DN8) 1.6 T-GDI_17인치타이어,현대,휘발유,1598,자동8,13.7,3등급,122,일반형
포터 2.5디젤 장축 더블캡 MT(강화유로6),현대,경유,2497,수동6,9.7,4등급,199,일반형
포터 2.5디젤 초장축 표준캡 AT(강화유로6),현대,경유,2497,자동5,9,5등급,216,일반형
포터 2.5디젤 초장축 더블캡 AT(강화유로6),현대,경유,2497,자동5,8.9,5등급,220,일반형
파워프라자 봉고3ev PEACE,(주)파워프라자,전기,,없음,2.4,고속(전기),0,화물
BMW X3 xDrive20i,BMW,휘발유,1998,자동8,9.5,4등급,181,다목적형
BMW 745e iPerformance,BMW,전기+휘발유,2998,자동8,2.9 / 10,PHEV,63,일반형
렉스턴스포츠 2.2 디젤 2WD 6MT SCR,쌍용,경유,2157,수동6,11.3,4등급,171,화물
렉스턴스포츠 2.2 디젤 2WD 6AT SCR,쌍용,경유,2157,자동6,10.4,4등급,188,화물
렉스턴스포츠 2.2 디젤 4WD 6AT SCR,쌍용,경유,2157,자동6,10.1,4등급,194,화물
렉스턴스포츠 칸 2.2 디젤 2WD 6MT SCR,쌍용,경유,2157,수동6,11.2,4등급,173,화물
렉스턴스포츠 칸 2.2 디젤 4WD 6MT SCR,쌍용,경유,2157,수동6,10.9,4등급,178,화물
렉스턴스포츠 칸 2.2 디젤 2WD 6AT SCR,쌍용,경유,2157,자동6,10.3,4등급,190,화물
렉스턴스포츠 칸 2.2 디젤 4WD 6AT SCR,쌍용,경유,2157,자동6,10,4등급,196,화물
BMW 118d,BMW,경유,1995,자동8,14.3,2등급,133,일반형
BMW 840d xDrive,BMW,경유,2993,자동8,10.9,4등급,178,일반형
봉고 1톤 장축 표준캡 MT (강화유로6),기아,경유,2497,수동6,9.9,4등급,195,일반형
봉고 1톤 장축 슈퍼캡 MT (강화유로6),기아,경유,2497,수동6,9.9,4등급,195,일반형
봉고 1톤 초장축 표준캡 MT (강화유로6),기아,경유,2497,수동6,9.9,4등급,195,일반형
봉고 1톤 장축 더블캡 MT (강화유로6),기아,경유,2497,수동6,9.7,4등급,199,일반형
봉고 1톤 초장축 표준캡 AT (강화유로6),기아,경유,2497,자동5,9,5등급,216,일반형
봉고 1톤 4X4장축 표준캡 (강화유로6),기아,경유,2497,수동6,9.2,5등급,212,일반형
봉고 1톤 4X4장축 더블캡 (강화유로6),기아,경유,2497,수동6,9.2,5등급,211,일반형
"카니발(PE 20MY) 3.3GDI 11인승 (18"" 타이어)",기아,휘발유,3342,자동8,8.5,5등급,202,일반형
포터 2.5디젤 장축 슈퍼캡 MT(강화유로6),현대,경유,2497,수동6,9.9,4등급,195,일반형
포터 2.5디젤 초장축 표준캡 MT(강화유로6),현대,경유,2497,수동6,9.9,4등급,195,일반형
포터 2.5디젤 4X4장축 표준캡(강화유로6),현대,경유,2497,수동6,9.2,5등급,211,일반형
포터 2.5디젤 초장축 더블캡 MT(강화유로6),현대,경유,2497,수동6,9.7,4등급,199,일반형
포터 2.5디젤 4X4장축 더블캡(강화유로6),현대,경유,2497,수동6,9.2,5등급,212,일반형
G70 3.3T-GDI AWD_19인치 타이어_20MY,현대,휘발유,3342,자동8,8.6,5등급,197,일반형
G70 3.3T-GDI 2WD_19인치 타이어_20MY,현대,휘발유,3342,자동8,9,5등급,188,일반형
G70 2.0T-GDI AWD_19인치 타이어_20MY,현대,휘발유,1998,자동8,9.5,4등급,177,일반형
G70 2.2디젤 AWD_18인치타이어_20MY,현대,경유,2199,자동8,13.5,3등급,141,일반형
G70 2.2디젤 2WD_17인치타이어_20MY,현대,경유,2199,자동8,15.2,2등급,124,일반형
G70 3.3T-GDI AWD (19인치 올시즌타이어),현대,휘발유,3342,자동8,8.7,5등급,199,일반형
G70 3.3T-GDI 2WD (19인치 올시즌타이어),현대,휘발유,3342,자동8,9.1,5등급,189,일반형
벤츠 GLE300 d 4Matic,벤츠,경유,1950,자동9,10.6,4등급,183,다목적형
G70 2.0T-GDI AWD_18인치 타이어_20MY,현대,휘발유,1998,자동8,10,4등급,168,일반형
G70 2.0T-GDI 2WD_19인치 타이어_20MY,현대,휘발유,1998,자동8,10.4,4등급,161,일반형
G70 2.0T-GDI 2WD_18인치 타이어_20MY,현대,휘발유,1998,자동8,10.7,4등급,156,일반형
쏘나타(DN8) 1.6 T-GDI_18인치타이어,현대,휘발유,1598,자동8,13.2,3등급,127,일반형
봉고 1톤 초장축 슈퍼캡 MT (강화유로6),기아,경유,2497,수동6,9.9,4등급,195,일반형
봉고 1톤 초장축 더블캡 MT (강화유로6),기아,경유,2497,수동6,9.7,4등급,199,일반형
봉고 1톤 초장축 슈퍼캡 AT (강화유로6),기아,경유,2497,자동5,9,5등급,216,일반형
봉고 1톤 초장축 더블캡 AT (강화유로6),기아,경유,2497,자동5,8.9,5등급,220,일반형
봉고 1톤 4X4장축 슈퍼캡 (강화유로6),기아,경유,2497,수동6,9.2,5등급,212,일반형
포터 2.5디젤 초장축 슈퍼캡 AT(강화유로6),현대,경유,2497,자동5,9,5등급,216,일반형
포터 2.5디젤 초장축 슈퍼캡 MT(강화유로6),현대,경유,2497,수동6,9.9,4등급,195,일반형
포터 2.5디젤 4X4장축 슈퍼캡(강화유로6),현대,경유,2497,수동6,9.2,5등급,211,일반형
벤츠 C200 Cabriolet,벤츠,휘발유,1991,자동9,10.3,4등급,169,일반형
A7 50 TDI quattro,아우디,경유,2967,자동8,10.6,4등급,182,일반형
Mercedes-AMG GT63 S 4Matic +,벤츠,휘발유,3982,자동9,7.2,5등급,245,일반형
BMW X6 xDrive30d,BMW,경유,2993,자동8,10,4등급,194,다목적형
BMW 840i xDrive,BMW,휘발유,2998,자동8,9,5등급,191,일반형
벤츠 S450 4Matic Coupe,벤츠,휘발유,2996,자동9,8.2,5등급,215,일반형
BMW M8 Coupe Competition,BMW,휘발유,4395,자동8,7.6,5등급,230,일반형
A6 45 TFSI quattro,아우디,휘발유,1984,자동7,11.4,4등급,150,일반형
BMW 630i xDrive,BMW,휘발유,2998,자동8,9.3,5등급,186,일반형
Mercedes-AMG GLC63 S 4Matic Coupe,벤츠,휘발유,3982,자동9,7.2,5등급,246,다목적형
Mercedes-AMG GLC43 4Matic,벤츠,휘발유,2996,자동9,8.5,5등급,207,다목적형
Bentayga V8,벤틀리,휘발유,3996,자동8,6.9,5등급,250,다목적형
Model X Performance,테슬라코리아 유한회사,전기,,없음,3.7,고속(전기),0,다목적형
Model X Performance,테슬라코리아 유한회사,전기,,없음,3.7,고속(전기),0,다목적형
Model X Long Range,테슬라코리아 유한회사,전기,,없음,3.9,고속(전기),0,다목적형
Model X Long Range,테슬라코리아 유한회사,전기,,없음,3.9,고속(전기),0,다목적형
Mercedes-AMG GLE63 S 4Matic Coupe,벤츠,휘발유,5461,자동9,6.5,5등급,275,다목적형
Model S Long Range,테슬라코리아 유한회사,전기,,없음,4.3,고속(전기),0,일반형
BMW X7 xDrive40i,BMW,휘발유,2998,자동8,8.2,5등급,211,다목적형
BMW X3 M,BMW,휘발유,2993,자동8,7.1,5등급,247,다목적형
BMW X4 M,BMW,휘발유,2993,자동8,7.1,5등급,247,다목적형
G70 2.0T-GDI 2WD (19인치 올시즌타이어) ,현대,휘발유,1998,자동8,10.5,4등급,161,일반형
G70 2.0T-GDI AWD (19인치 올시즌타이어),현대,휘발유,1998,자동8,9.6,4등급,178,일반형
911 카레라 4S,포르쉐,휘발유,2981,자동8,8.2,5등급,212,일반형
911 카레라 S 카브리올레,포르쉐,휘발유,2981,자동8,8.2,5등급,210,일반형
D2C,쎄미시스코,전기,,없음,5.2,고속(전기),0,화물
코란도 가솔린 1.5 AT 2WD 저공해3종 17인치,쌍용,휘발유,1497,자동6,11.3,4등급,147,다목적형
코란도 가솔린 1.5 AT 2WD 저공해3종 19인치,쌍용,휘발유,1497,자동6,11.1,4등급,149,다목적형
코란도 가솔린 1.5 AT 4WD 저공해3종,쌍용,휘발유,1497,자동6,10.1,4등급,166,다목적형
Mercedes-AMG GLC63 4Matic,벤츠,휘발유,3982,자동9,7.1,5등급,251,다목적형
911 카레라 4S 카브리올레,포르쉐,휘발유,2981,자동8,8.2,5등급,212,일반형
911 카레라 S,포르쉐,휘발유,2981,자동8,8.2,5등급,210,일반형
S350 d,벤츠,경유,2925,자동9,12.7,3등급,152,일반형
