모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
GV80(22MY) 3.0디젤 2WD 7인 19인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
GV80(22MY) 3.0디젤 2WD 7인 20인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
GV80(22MY) 3.0디젤 2WD 7인 22인치 타이어,현대,경유,2996,자동8,11.2,4등급,173,다목적형
GV80(22MY) 2.5T-GDI AWD 5인 20인치타이어,현대,휘발유,2497,자동8,8.6,5등급,199,다목적형
GV80(22MY) 2.5T-GDI AWD 5인 22인치타이어,현대,휘발유,2497,자동8,8.6,5등급,199,다목적형
GV80(22MY) 2.5T-GDI AWD 5인 19인치타이어(빌트인캠),현대,휘발유,2497,자동8,8.8,5등급,194,다목적형
GV80(22MY) 2.5T-GDI AWD 6인 19인치타이어(빌트인캠),현대,휘발유,2497,자동8,8.8,5등급,194,다목적형
GV80(22MY) 2.5T-GDI AWD 7인 19인치타이어(빌트인캠),현대,휘발유,2497,자동8,8.8,5등급,194,다목적형
GV80(22MY) 2.5T-GDI AWD 5인 19인치타이어,현대,휘발유,2497,자동8,9,5등급,190,다목적형
GV80(22MY) 2.5T-GDI AWD 6인 19인치타이어,현대,휘발유,2497,자동8,9,5등급,190,다목적형
GV80(22MY) 2.5T-GDI AWD 7인 19인치타이어,현대,휘발유,2497,자동8,9,5등급,190,다목적형
GV80(22MY) 2.5T-GDI AWD 6인 20인치타이어,현대,휘발유,2497,자동8,8.5,5등급,202,다목적형
GV80(22MY) 2.5T-GDI AWD 6인 22인치타이어,현대,휘발유,2497,자동8,8.5,5등급,202,다목적형
GV80(22MY) 2.5T-GDI AWD 7인 20인치타이어,현대,휘발유,2497,자동8,8.5,5등급,202,다목적형
GV80(22MY) 2.5T-GDI AWD 7인 22인치타이어,현대,휘발유,2497,자동8,8.5,5등급,202,다목적형
GV80(22MY) 2.5T-GDI 2WD 5인승 19인치 타이어,현대,휘발유,2497,자동8,9.7,4등급,175,다목적형
GV80(22MY) 2.5T-GDI 2WD 5인 19인치타이어(빌트인캠),현대,휘발유,2497,자동8,9.5,4등급,179,다목적형
GV80(22MY) 2.5T-GDI 2WD 6인 19인치타이어,현대,휘발유,2497,자동8,9.3,5등급,183,다목적형
GV80(22MY) 2.5T-GDI 2WD 7인 19인치타이어,현대,휘발유,2497,자동8,9.3,5등급,183,다목적형
GV80(22MY) 2.5T-GDI 2WD 5인 20인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 2.5T-GDI 2WD 5인 22인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 2.5T-GDI 2WD 6인 20인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 2.5T-GDI 2WD 6인 22인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 2.5T-GDI 2WD 7인 20인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 2.5T-GDI 2WD 7인 22인치타이어,현대,휘발유,2497,자동8,9.1,5등급,188,다목적형
GV80(22MY) 3.5T-GDI AWD 5인 20인치타이어(빌트인캠),현대,휘발유,3470,자동8,7.8,5등급,221,다목적형
GV80(22MY) 3.5T-GDI 2WD 6인 20인치타이어,현대,휘발유,3470,자동8,8.4,5등급,205,다목적형
GV80(22MY) 3.5T-GDI 2WD 7인 20인치타이어,현대,휘발유,3470,자동8,8.4,5등급,205,다목적형
GV80(22MY) 3.5T-GDI 2WD 5인 22인치타이어,현대,휘발유,3470,자동8,8.4,5등급,205,다목적형
GV80(22MY) 3.5T-GDI 2WD 6인 22인치타이어,현대,휘발유,3470,자동8,8.2,5등급,210,다목적형
GV80(22MY) 3.5T-GDI 2WD 7인 22인치타이어,현대,휘발유,3470,자동8,8.2,5등급,210,다목적형
BMW X3 M40i,BMW,휘발유,2998,자동8,9.2,5등급,186,다목적형
GV80(22MY) 3.0디젤 AWD 7인 20인치타이어,현대,경유,2996,자동8,10.6,4등급,184,다목적형
GV80(22MY) 3.0디젤 AWD 5인 20인치타이어,현대,경유,2996,자동8,10.6,4등급,184,다목적형
GV80(22MY) 3.0디젤 AWD 5인 22인치타이어,현대,경유,2996,자동8,10.6,4등급,184,다목적형
GV80(22MY) 3.0디젤 2WD 5인 19인치 타이어,현대,경유,2996,자동8,11.8,3등급,164,다목적형
